,,
C.E.L.T - The Sentiment Analyser - https://github.com/amit-99/SE_Project2 ,,
,,
Cumulative sum of all scores,90,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,Project properly executed by all team-members on their respective systems as part of development and testing. Every team member performed git pull of the develop branch which consists of config files and code files contributed by other team members or by the folks who had previously contributed in this project.
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,Project properly executed by all team-members on their respective systems as part of development and testing. 
Evidence that the members of the team are working across multiple places in the code base,3,visible through commits on different files
Short release cycles,3,Can be seen at https://github.com/amit-99/SE_Project2/releases 
"1.1: Does your website and documentation provide a clear, high-level overview of your software?",Yes,in readme
1.2: Does your website and documentation clearly describe the type of user who should use your software?,Yes,in readme
1.3: Do you publish case studies to show how your software has been used by yourself and others?,No,We are planning to
2.1: Is the name of your project/software unique?,Yes,C.E.L.T. 
2.2: Is your project/software name free from trademark violations?,Yes,It was checked
3.1: Is your software available as a package that can be deployed without building it?,No,
3.2: Is your software available for free?,Yes,This is a open source project
"3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,available on public Github repo
"3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,available on public Github repo
4.1: Is your documentation clearly available on your website or within your software?,Yes,Present in the project's GitHub repository
"4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,"Present in the project's GitHub repository under - ""How to use C.E.L.T?"" section."
"4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,Present in the project's GitHub repository
"4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,https://github.com/amit-99/SE_Project2/blob/develop/README.md
4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,Yes,Logically yes with help of our discord support forum
"4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Yes,Present in the project's GitHub repository
4.7: Do you store your documentation under revision control with your source code?,Yes,Present in the project's GitHub repository
"4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,publicly available on github repo
5.1: Does your software describe how a user can get help with using your software?,Yes,Present in readme section - https://github.com/amit-99/SE_Project2/blob/develop/README.md#connect-with-us 
"5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,in readme - https://github.com/amit-99/SE_Project2/blob/develop/README.md#connect-with-us 
5.3: Does your project have an e-mail address or forum that is solely for supporting users?,Yes, The Discord Forum is created & link provided in Readme -   https://github.com/amit-99/SE_Project2/blob/develop/README.md#connect-with-us
5.4: Are e-mails to your support e-mail address received by more than one person?,No,The Discord Forum created has prsence of all developers/contributors.
5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Yes,Issue are handled as tickets
"5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,Project Board publicly visible - https://github.com/users/amit-99/projects/2 
6.1: Is your software’s architecture and design modular?,Yes,As per django project requirement standards
6.2: Does your software use an accepted coding standard or convention?,Yes,Also aplied rules using pylint which is checked with every code related actions in repository
7.1: Does your software allow data to be imported and exported using open data formats?,No,
7.2: Does your software allow communications using open communications protocols?,Yes,Yes we are following the standard protocols
8.1: Is your software cross-platform compatible?,Yes,We tested on multiple platforms
9.1: Does your software adhere to appropriate accessibility conventions or standards?,Yes,in readme
9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,in readme
10.1: Is your source code stored in a repository under revision control?,Yes,in GH
10.2: Is each source code release a snapshot of the repository?,Yes,Can be seen at https://github.com/amit-99/SE_Project2/releases 
10.3: Are releases tagged in the repository?,Yes,release versions are tagged but not all releases
"10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,Master branch
10.5: Do you back-up your repository?,No,Every release is backed up and stored in non-cloud storage solution
11.1: Do you provide publicly-available instructions for building your software from the source code?,Yes,in readme
"11.2: Can you build, or package, your software using an automated tool?",Yes,Yes scipts are implemented for automated deployment
11.3: Do you provide publicly-available instructions for deploying your software?,Yes,in readme
11.4: Does your documentation list all third-party dependencies?,Yes,Mentioned in requirements.txt file and Readme
11.5: Does your documentation list the version number for all third-party dependencies?,Yes,Mentioned in requirements.txt file
"11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,Lists the documentation link which has all details
11.7: Can you download dependencies using a dependency management tool or package manager?,Yes,downloadable using pip - requirements.txt file
11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,present in Test folder - https://github.com/amit-99/SE_Project2/tree/develop/test 
12.1: Do you have an automated test suite for your software?,Yes,We implemented and continuously running test suite for software robustness
12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,Yes,Github workflow
"12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,Github workflow
12.4: Are your test results publicly visible?,Yes,Github workflow and actions tab
12.5: Are all manually-run tests documented?,Yes,Documented in repo
"13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",Yes,Link to website : https://www.notion.so/C-E-L-T-The-Sentiment-Analyzer-f771d9e92c494c9b85a4faeb6e3621a1?pvs=4#8d3c914a5dea4eb58b6ec3b5172cbfe9
13.2: Does your website state how many projects and users are associated with your project?,Yes,Link to website : https://www.notion.so/C-E-L-T-The-Sentiment-Analyzer-f771d9e92c494c9b85a4faeb6e3621a1?pvs=4#8d3c914a5dea4eb58b6ec3b5172cbfe9
13.3: Do you provide success stories on your website?,Yes,Link to website : https://www.notion.so/C-E-L-T-The-Sentiment-Analyzer-f771d9e92c494c9b85a4faeb6e3621a1?pvs=4#8d3c914a5dea4eb58b6ec3b5172cbfe9
13.4: Do you list your important partners and collaborators on your website?,Yes,https://www.notion.so/C-E-L-T-The-Sentiment-Analyzer-f771d9e92c494c9b85a4faeb6e3621a1?pvs=4#fd92ec5786b8421091cdfd62a913f1ef
13.5: Do you list your project's publications on your website or link to a resource where these are available?,No,
13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,Yes,Link to ref research works : https://www.notion.so/C-E-L-T-The-Sentiment-Analyzer-f771d9e92c494c9b85a4faeb6e3621a1?pvs=4#96d41a5de5394e1bbed53de1ab76cdb0
13.7: Can users subscribe to notifications to changes to your source code repository?,Yes,We Notifying all the subscribers from website regadring new announcement and releases
"13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Yes,OSI approevd MIT License
"14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,Policy available in contributing.md and also mentioned on project website
14.2: Do you have a contributions policy?,Yes,Policy available in contributing.md and also mentioned on project website
14.3: Is your contributions' policy publicly available?,Yes,Policy available in contributing.md and also mentioned on project website
14.4: Do contributors keep the copyright/IP of their contributions?,Yes,Policy available in contributing.md and also mentioned on project website
15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,Current Project Owners: https://github.com/amit-99/SE_Project2/blob/develop/README.md#team-members
15.2: Does each of your source code files include a copyright statement?,Yes,
15.3: Does your website and documentation clearly state the licence of your software?,Yes,OSI approevd MIT License
15.4: Is your software released under an open source licence?,Yes,OSI approevd MIT License
15.5: Is your software released under an OSI-approved open-source licence?,Yes,OSI approevd MIT License
15.6: Does each of your source code files include a licence header?,Yes,
15.7: Do you have a recommended citation for your software?,Yes,Link to recommended research works : https://www.notion.so/C-E-L-T-The-Sentiment-Analyzer-f771d9e92c494c9b85a4faeb6e3621a1?pvs=4#cc77f879bf7248368a917765421078e1
"16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,Link to the Roadmap : https://github.com/amit-99/SE_Project2/blob/develop/README.md#roadmap-and-progress
"16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",Yes,This is a non sponsored project : https://www.notion.so/C-E-L-T-The-Sentiment-Analyzer-f771d9e92c494c9b85a4faeb6e3621a1?pvs=4#cc77f879bf7248368a917765421078e1
"16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",Yes,Link to the Announcements : https://www.notion.so/C-E-L-T-The-Sentiment-Analyzer-f771d9e92c494c9b85a4faeb6e3621a1?pvs=4#f4ce8103f00d4008b9126b84bbc97d75
